あつい,あつい,あつかった,あつくて,あつそう,B
さむい,さむかった,さむい,さむくて,さむそう,A
たかい,たかかった,たかくて,たかそう,たかい,D
ひくい,ひくい,ひくかった,ひくくて,ひくそう,B
おおきい,おおきかった,おおきい,おおきくて,おおきそう,A
ちいさい,ちいさくて,ちいさい,ちいさかった,ちいさそう,C
ながい,ながそう,ながかった,ながい,ながくて,B
みじかい,みじかった,みじかくて,みじかい,みじかそう,B
はやい,はやかった,はやくて,はやそう,はやい,A
おそい,おそくて,おそかった,おそい,おそそう,C
あたらしい,あたらしかった,あたらしそう,あたらしくて,あたらしい,A
ふるい,ふるそう,ふるかった,ふるい,ふるくて,C
わるい,わるかった,わるくて,わるそう,わるい,A
いい,よくて,よかった,いい,よさそう,C
おもしろい,おもしろかった,おもしろくて,おもしろい,おもしろそう,A
たのしい,たのしかった,たのしくて,たのしい,たのしそう,A
うれしい,うれしかった,うれしくて,うれしい,うれしそう,A
かなしい,かなしかった,かなしい,かなしくて,かなしそう,B
つよい,つよかった,つよくて,つよそう,つよい,A
よわい,よわかった,よわい,よわくて,よわそう,A
あまい,あまかった,あまい,あまくて,あまそう,A
からい,からかった,からくて,からい,からそう,B
すずしい,すずしかった,すずしい,すずしくて,すずしそう,A
さびしい,さびしかった,さびしくて,さびしそう,さびしい,A
いそがしい,いそがしかった,いそがしい,いそがしくて,いそがしそう,A
しずか,しずかで,しずかだった,しずか,しずかそう,B
にぎやか,にぎやかだった,にぎやか,にぎやかで,にぎやかそう,A
きれい,きれいだった,きれい,きれいで,きれいそう,A
ゆうめい,ゆうめいだった,ゆうめい,ゆうめいで,ゆうめいそう,A
げんき,げんきだった,げんき,げんきで,げんきそう,A
